"name","name_on_ukrainian_wikipedia","administrative_division","popu_lation_2022_esti_mates_1","popu_lation_2001_census_7","popu_lationchange","full_name","lat","long"
"Drohobych","Дрогобич","Lviv",73682,79119,-6.87,"Drohobych, Ukraine",49.3519012,23.5113069
"Lviv","Львів","Lviv",717273,732818,-2.12,"Lviv, Ukraine",49.839683,24.029717
"Novoiavorivsk","Новояворівськ","Lviv",31366,26483,18.44,"Novoiavorivsk, Ukraine",49.9252558,23.568663
"Novyi Rozdil","Новий Розділ","Lviv",27841,28227,-1.37,"Novyi Rozdil, Ukraine",49.472269,24.1243289
"Sambir","Самбір","Lviv",34152,36556,-6.58,"Sambir, Ukraine",49.5164679,23.2017288
"Sheptytskyi","Шептицький","Lviv",64297,70568,-8.89,"Sheptytskyi, Ukraine",49.806685,24.8971118
"Sokal","Сокаль","Lviv",20373,21693,-6.08,"Sokal, Ukraine",50.479904,24.290214
"Stebnyk","Стебник","Lviv",20200,20863,-3.18,"Stebnyk, Ukraine",48.8608269,24.5792371
"Stryi","Стрий","Lviv",59425,62479,-4.89,"Stryi, Ukraine",49.2543706,23.8433914
"Truskavets","Трускавець","Lviv",28287,31037,-8.86,"Truskavets, Ukraine",49.2705015,23.5104869
"Zolochiv","Золочів","Lviv",23912,23481,1.84,"Zolochiv, Ukraine",49.798816,24.897586
"Mykolaiv","Миколаїв","Mykolaiv",470011,514136,-8.58,"Mykolaiv, Ukraine",46.9667556,31.9913401
"Pervomaisk","Первомайськ","Mykolaiv",62426,70170,-11.04,"Pervomaisk, Ukraine",48.041186,30.843817
"Pivdennoukrainsk","Південноукраїнськ","Mykolaiv",38560,38206,0.93,"Pivdennoukrainsk, Ukraine",46.4863777,30.7296347
"Voznesensk","Вознесенськ","Mykolaiv",33442,42634,-21.56,"Voznesensk, Ukraine",47.575932,31.324845
"Kyiv","Київ","N/A (city with special status)",2952301,2611327,13.06,"Kyiv, Ukraine",50.4497495,30.5237178
"Sevastopol","Севастополь","N/A (city with special status)",393304,342451,14.85,"Sevastopol, Ukraine",44.550653,33.5389528
"Bilhorod-Dnistrovskyi","Білгород-Дністровський","Odesa",47727,51890,-8.02,"Bilhorod-Dnistrovskyi, Ukraine",46.1815011,30.3194461
"Chornomorsk","Чорноморськ","Odesa",57983,54151,7.08,"Chornomorsk, Ukraine",46.3004462,30.6547309
"Izmail","Ізмаїл","Odesa",69932,84815,-17.55,"Izmail, Ukraine",45.3519986,28.8367565
"Odesa","Одеса","Odesa",1010537,1029049,-1.8,"Odesa, Ukraine",46.4752044,30.7087978
"Pivdenne","Південне","Odesa",32677,23977,36.28,"Pivdenne, Ukraine",50.0581498,35.9611035
"Podilsk","Подільськ","Odesa",39220,40718,-3.68,"Podilsk, Ukraine",47.749257,29.532659
"Hadiach","Гадяч","Poltava",22851,22698,0.67,"Hadiach, Ukraine",50.36912,33.997
"Horishni Plavni","Горішні Плавні","Poltava",49854,51740,-3.65,"Horishni Plavni, Ukraine",49.0057644,33.6440102
"Kremenchuk","Кременчук","Poltava",215271,234073,-8.03,"Kremenchuk, Ukraine",49.06253,33.40484
"Lubny","Лубни","Poltava",44089,52572,-16.14,"Lubny, Ukraine",50.01261,33.003243
"Myrhorod","Миргород","Poltava",37886,42886,-11.66,"Myrhorod, Ukraine",49.963604,33.610748
"Poltava","Полтава","Poltava",279593,317998,-12.08,"Poltava, Ukraine",49.5981817,34.5428414
"Dubno","Дубно","Rivne",36901,39146,-5.73,"Dubno, Ukraine",50.388654,25.754863
"Kostopil","Костопіль","Rivne",30838,30467,1.22,"Kostopil, Ukraine",50.8772684,26.4479594
"Rivne","Рівне","Rivne",243873,248813,-1.99,"Rivne, Ukraine",50.6130575,26.2550158
"Sarny","Сарни","Rivne",28626,28144,1.71,"Sarny, Ukraine",51.336359,26.615503
"Varash","Вараш","Rivne",41711,38830,7.42,"Varash, Ukraine",51.3396799,25.8584633
"Zdolbuniv","Здолбунів","Rivne",24501,24612,-0.45,"Zdolbuniv, Ukraine",50.520943,26.254081
"Hlukhiv","Глухів","Sumy",31789,35768,-11.12,"Hlukhiv, Ukraine",51.6784329,33.9123347
"Konotop","Конотоп","Sumy",83543,92657,-9.84,"Konotop, Ukraine",51.232285,33.201763
"Krolevets","Кролевець","Sumy",22111,25183,-12.2,"Krolevets, Ukraine",51.551015,33.379131
"Lebedyn","Лебедин","Sumy",23892,28948,-17.47,"Lebedyn, Ukraine",50.5819892,34.4822301
"Okhtyrka","Охтирка","Sumy",46660,50399,-7.42,"Okhtyrka, Ukraine",50.302951,34.892289
"Romny","Ромни","Sumy",37765,50448,-25.14,"Romny, Ukraine",50.7395607,33.4831371
"Shostka","Шостка","Sumy",71966,87130,-17.4,"Shostka, Ukraine",51.864721,33.487362
"Sumy","Суми","Sumy",256474,293141,-12.51,"Sumy, Ukraine",50.9118954,34.8013897
"Chortkiv","Чортків","Ternopil",28279,29057,-2.68,"Chortkiv, Ukraine",49.013938,25.788007
"Kremenets","Кременець","Ternopil",20476,22051,-7.14,"Kremenets, Ukraine",50.092582,25.734184
"Ternopil","Тернопіль","Ternopil",225004,227755,-1.21,"Ternopil, Ukraine",49.5606349,25.5986723
"Haisyn","Гайсин","Vinnytsia",25698,25640,0.23,"Haisyn, Ukraine",48.810526,29.393353
"Khmilnyk","Хмільник","Vinnytsia",26916,27898,-3.52,"Khmilnyk, Ukraine",49.5512098,27.9417755
"Koziatyn","Козятин","Vinnytsia",22241,26635,-16.5,"Koziatyn, Ukraine",49.7176816,28.837661
"Ladyzhyn","Ладижин","Vinnytsia",22459,22219,1.08,"Ladyzhyn, Ukraine",48.6886324,29.239796
"Mohyliv-Podilskyi","Могилів-Подільський","Vinnytsia",29925,32853,-8.91,"Mohyliv-Podilskyi, Ukraine",48.4477999,27.8044844
"Vinnytsia","Вінниця","Vinnytsia",369739,356665,3.67,"Vinnytsia, Ukraine",49.23281,28.494008
"Zhmerynka","Жмеринка","Vinnytsia",33754,37349,-9.63,"Zhmerynka, Ukraine",49.037564,28.108897
"Kovel","Ковель","Volyn",67575,66401,1.77,"Kovel, Ukraine",51.2108,24.710628
"Lutsk","Луцьк","Volyn",215986,208816,3.43,"Lutsk, Ukraine",50.7557986,25.3531004
"Novovolynsk","Нововолинськ","Volyn",49772,53838,-7.55,"Novovolynsk, Ukraine",50.7246796,24.1604534
"Volodymyr","Володимир","Volyn",37910,38256,-0.9,"Volodymyr, Ukraine",50.8527954,24.3254873
"Berehove","Берегове","Zakarpattia",23325,26735,-12.75,"Berehove, Ukraine",48.2053705,22.6451245
"Khust","Хуст","Zakarpattia",28039,29080,-3.58,"Khust, Ukraine",48.17193,23.29791
"Mukachevo","Мукачево","Zakarpattia",85569,82346,3.91,"Mukachevo, Ukraine",48.44248,22.718
"Uzhhorod","Ужгород","Zakarpattia",115449,117317,-1.59,"Uzhhorod, Ukraine",48.618251,22.2893864
"Vynohradiv","Виноградів","Zakarpattia",25317,25760,-1.72,"Vynohradiv, Ukraine",48.143146,23.024478
